Store Code,City,District,Region,Latitude,Longitude,,,,,,,,,,,,,
1670,Abha,Al-Mansak,Abha,18.23154541,42.55618966,,,,,,,,,,,,,
1673,Khamis Meshiet,El-Rabea,Khamis Meshiet,18.30880683,42.68948491,,,,,,,,,,,,,
1689,Khamis Meshiet,Al-Mosa,Khamis Meshiet,18.33073953,42.7612491,,,,,,,,,,,,,
1690,Al-Majarda,Al-Adala,Al-Majarda,19.12112091,41.92172466,,,,,,,,,,,,,
9051,Riyadh,Al-Andalus,Riyadh,24.7438601,46.7910556,,,,,,,,,,,,,
9053,Riyadh,Towaik,Riyadh,24.5859172,46.55627244,,,,,,,,,,,,,
9055,Riyadh,Al-Sahafa,Riyadh,24.79916926,46.64324809,,,,,,,,,,,,,
9056,Madina,Al-Faisalyah,Madina,24.47635498,39.55444068,,,,,,,,,,,,,
9059,Al-Haqu,Qura,Jazan,17.48135939,42.67722346,,,,,,,,,,,,,
9019,Madina,Shoran,Madina,24.38966003,39.62366386,,,,,,,,,,,,,
9025,Madina,Qurban,Madina,24.45391055,39.6147763,,,,,,,,,,,,,
9032,Bisha,Al-Fahd,Bisha,19.99041347,42.60119373,,,,,,,,,,,,,
9033,Makkah,Al-Sharai,Makkah,21.48729501,39.9414825,,,,,,,,,,,,,
3051,Jeddah,Al-Naseem,Jeddah,21.52026381,39.23957592,,,,,,,,,,,,,
9036,Makkah,Al-Salama,Makkah,21.44713718,39.76348994,,,,,,,,,,,,,
9038,Makkah,Al-Awaili,Makkah,21.35610096,39.88611128,,,,,,,,,,,,,
9040,Makkah,Al-Sloqiyah,Makkah,21.37305896,39.80020425,,,,,,,,,,,,,
9043,Makkah,Al-Jamiah,Makkah,21.39405438,39.87955199,,,,,,,,,,,,,
9044,Makkah,Al-Adl,Makkah,21.44470982,39.86018524,,,,,,,,,,,,,
9050,Makkah,Al-Shoqiyah,Makkah,21.37899264,39.80322064,,,,,,,,,,,,,
9007,Al-Khurma,Al-Nozha,Taif,21.91230169,42.02879223,,,,,,,,,,,,,
1698,Jeddah,Al-Marwah,Jeddah,21.62411813,39.20742753,,,,,,,,,,,,,
1699,Jeddah,Al-Sanabel,Jeddah,21.39851146,39.28555395,,,,,,,,,,,,,
2000,Jeddah,Al-Sanabel,Jeddah,21.40115077,39.27769327,,,,,,,,,,,,,
2001,Jeddah,Al-Tawfiq,Jeddah,21.57270348,39.24156332,,,,,,,,,,,,,
